snapshot id,description,started,size,volume,volume exists,instance,instance exists,ami,ami exists
snap-0ae792054e153522f,Created by CreateImage(i-070c2859684bcbd7f) for ami-0af73f7dbdc485bbb from vol-05cc7328121a967ca,2018-12-04 18:48:11+00:00,8,vol-05cc7328121a967ca,True,i-070c2859684bcbd7f,True,ami-0af73f7dbdc485bbb,True
snap-0280396660e38572f,Created by CreateImage(i-036f75780f096c4f6) for ami-054936e1b5a05a547 from vol-08c3d5e8a4e6634bb,2018-12-04 18:09:01+00:00,8,vol-08c3d5e8a4e6634bb,True,i-036f75780f096c4f6,True,ami-054936e1b5a05a547,True
snap-03eaceb6343a75931,Created by CreateImage(i-036f75780f096c4f6) for ami-054936e1b5a05a547 from vol-06f73ec160d900497,2018-12-04 18:09:01+00:00,8,vol-06f73ec160d900497,True,i-036f75780f096c4f6,True,ami-054936e1b5a05a547,True
snap-098befd74d1fe301a,Created by CreateImage(i-036f75780f096c4f6) for ami-054936e1b5a05a547 from vol-0c390359d860b32ab,2018-12-04 18:09:01+00:00,8,vol-0c390359d860b32ab,True,i-036f75780f096c4f6,True,ami-054936e1b5a05a547,True
snap-02da599826b077e98,Created by CreateImage(i-070c2859684bcbd7f) for ami-09f721cbd1c9e59c3 from vol-05cc7328121a967ca,2018-12-04 18:02:11+00:00,8,vol-05cc7328121a967ca,True,i-070c2859684bcbd7f,True,ami-09f721cbd1c9e59c3,True
snap-0ee5bb826559a5a65,Snapshot of volume (vol-0079992127f4e4a2f),2018-12-03 21:07:21+00:00,8,vol-0079992127f4e4a2f,True,,,,
snap-043343522553c9565,Snapshot of volume (vol-0079992127f4e4a2f),2018-12-03 20:58:10+00:00,8,vol-0079992127f4e4a2f,True,,,,
snap-053d436c10c4cea4b,Encrypted copy of snapshot #snap-043343522553c9565,2018-12-03 20:59:10+00:00,8,vol-ffffffff,False,,,,
snap-08b77188587795c8e,Snapshot of volume (vol-0079992127f4e4a2f),2018-12-03 19:42:20+00:00,8,vol-0079992127f4e4a2f,True,,,,
snap-0edfc27bd3dc4f0d3,Snapshot of volume (vol-0079992127f4e4a2f),2018-12-03 19:34:32+00:00,8,vol-0079992127f4e4a2f,True,,,,
snap-0413ad6fa3fb7f50d,Encrypted copy of snapshot #snap-089485294cbf7dbcc,2018-12-03 19:26:53+00:00,8,vol-ffffffff,False,,,,
snap-0e030152ac5dfcae8,Encrypted copy of snapshot #snap-08279656eeebce432,2018-12-03 19:14:16+00:00,8,vol-ffffffff,False,,,,
snap-0f4eccf661d5da225,Snapshot of volume (vol-0079992127f4e4a2f),2018-12-03 19:07:13+00:00,8,vol-0079992127f4e4a2f,True,,,,
snap-0b7a58657725029a1,Snapshot of volume (vol-0079992127f4e4a2f),2018-12-03 18:54:58+00:00,8,vol-0079992127f4e4a2f,True,,,,
snap-009465a54316000d3,Snapshot of volume (vol-0079992127f4e4a2f),2018-12-03 18:56:06+00:00,8,vol-0079992127f4e4a2f,True,,,,
snap-0999c93ee1433faa3,Snapshot of volume (vol-0079992127f4e4a2f),2018-12-03 18:34:39+00:00,8,vol-0079992127f4e4a2f,True,,,,
snap-0e64f15443d397781,Snapshot of volume (vol-06f73ec160d900497),2018-12-03 18:15:11+00:00,8,vol-06f73ec160d900497,True,,,,
snap-0fd907ec7cd04c66c,Snapshot of volume (vol-0c390359d860b32ab),2018-12-03 18:13:54+00:00,8,vol-0c390359d860b32ab,True,,,,
snap-0fd91729fdf624fb6,Encrypted copy of snapshot #snap-0300951271c418ff4,2018-12-03 18:19:45+00:00,8,vol-ffffffff,False,,,,
